Title,Salutation,Surname,First Name,Other Name,Preferred Name,Initials,Post Nominals,State,Political Party,Gender,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Label Address,Label Suburb,Label State,Label postcode,Parliamentary Titles
Senator,Senator,Molan,Andrew,James,Jim,A. J.,AO DSC,NSW,LP,Male,"Suite O101A, Riverside Plaza",131 Monaro Street,Queanbeyan,NSW,2620,(02) 6284 3115,,,"Suite O101A, Riverside Plaza, 131 Monaro Street",Queanbeyan,NSW,2620,
Senator,Senator,O'Neill,Deborah,Mary,Deborah,D.M.,,NSW,ALP,Female,"Suite 3.12, The Platinum Building",4 Ilya Avenue,Erina,NSW,2250,(02) 4367 4565,(02) 4367 3506,,"Suite 3.12, The Platinum Building, 4 Ilya Avenue",Erina,NSW,2250,
Senator,Senator,O'Sullivan,Matthew,Anthony,Matt,M.A.,,WA,LP,Male,Suite 5,162 Colin Street,West Perth,WA,6872,(08) 9226 5387,,,Suite 5,West Perth,WA,6872,
Senator,Senator,Paterson,James,William,James,J.,,VIC,LP,Male,"Ground floor, 63 York Street",,South Melbourne,VIC,3205,(03) 9690 2201,,,"Ground floor, 63 York Street",South Melbourne,VIC,3205,
Senator,Senator,Patrick,Rex,Lyall,Rex,R.L.,,SA,CA,Male,Level 2,31 Ebenezer Place,Adelaide,SA,5000,(08) 8232 1144,(08) 8232 3744,1300 056 115,"Level 2, 31 Ebenezer Place",Adelaide,SA,5000,
Senator the Hon,Senator,Payne,Marise,Ann,Marise,M. A.,,NSW,LP,Female,2-12 Macquarie Street,,Parramatta,NSW,2150,(02) 9687 8755,(02) 9687 8466,,PO Box 1420,Parramatta,NSW,2150,"Minister for Foreign Affairs Minister for Women"
Senator,Senator,Polley,Helen,,Helen,H.,,TAS,ALP,Female,"'The Charles', Suite 101",287 Charles Street,Launceston,TAS,7250,(03) 6331 2599,(03) 6331 2588,1300 013 923,PO Box 1223,Launceston,TAS,7250,
Senator,Senator,Pratt,Louise,Clare,Louise,L.C.,,WA,ALP,Female,183 Great Eastern Highway,,Belmont,WA,6104,(08) 9277 1502,(08) 9277 1509,1300 054 179,PO Box 531,Belmont,WA,6984,
Senator,Senator,Rennick,Gerard,,Gerard,G.,,QLD,LP,Male,"Suite 14c, 421 Brunswick Street,",,Fortitude Valley,QLD,4006,(07) 3252 7101,,,PO Box 907 Fortitude Valley Post Shop,Fortitude Valley,QLD,4006,
Senator the Hon,Senator,Reynolds,Linda,Karen,Linda,L.K.,CSC,WA,LP,Female,"Suite C, 117 Great Eastern Highway",,Rivervale,WA,6103,(08) 9477 5411,,,PO Box 369,Belmont,WA,6984,Minister for Defence
Senator,Senator,Rice,Janet,Elizabeth,Janet,J.E.,,VIC,AG,Female,Shops 2-3,26 Lygon Street,Brunswick East,VIC,3057,(03) 9381 1446,,1300 784 377,Shops 2-3,Brunswick East,VIC,3057,Deputy Australian Greens Whip
Senator,Senator,Roberts,Malcolm,Ieuan,Malcolm,M.I.,,QLD,PHON,Male,"Commonwealth Parliament Offices Suite 2, Level 36 Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 9099,,,PO Box 228,Brisbane,QLD,4001,
Senator the Hon,Senator,Ruston,Anne,,Anne,A.,,SA,LP,Female,9 Renmark Avenue,,Renmark,SA,5341,(08) 8586 6600,(08) 8595 1700,1300 857 022,PO Box 1671,Renmark,SA,5341, Minister for Families and Social Services (Manager of Government Business in the Senate)
Senator the Hon,Senator,Ryan,Scott,Michael,Scott,S.M.,,VIC,LP,Male,12 Pascoe Vale Road,,Moonee Ponds,VIC,3039,(03) 9326 1088,,,PO Box 556,Moonee Ponds,VIC,3039,President of the Senate
Senator,Senator,Scarr,Paul,Martin,Paul,P.M.,,QLD,LP,Male,Commonwealth Parliament Office Level 25 Waterfront Place,1 Eagle Street,Brisbane,QLD,4000,(07) 3211 7240,,,GPO Box 228,Brisbane,QLD,4001,
Senator the Hon,Senator,Seselja,Zdenko,Matthew,Zed,Z. M.,,ACT,LP,Male,Shop 1,25 Ernest Cavanagh Street,Gungahlin,ACT,2912,(02) 6247 6444,(02) 6257 4140,,PO Box 705,Gungahlin,ACT,2912,"Assistant Minister for Finance, Charities and Electoral Matters"
Senator,Senator,Sheldon,Anthony,Vincent,Tony,A.V.,,NSW,ALP,Male,Suite 405 Henry Lawson Building,19 Roseby Street,Drummoyne,NSW,2047,(02) 9719 1078,,1300 884 092,Suite 405 Henry Lawson Building,Drummoyne,NSW,2047,
Senator,Senator,Siewert,Rachel,,Rachel,R.,,WA,AG,Female,"Unit 11, Level 2",440 William Street,Perth,WA,6000,(08) 9228 3277,,1300 088 218,"Unit 11, Level 2, 440 William Street",Perth,WA,6000,Australian Greens Whip
Senator,Senator,Smith,Dean,Anthony,Dean,D. A.,,WA,LP,Male,48 Ventnor Avenue,,West Perth,WA,6005,(08) 9481 0349,,1300 301 849,PO Box 930,West Perth,WA,6872,Government Whip in the Senate
Senator,Senator,Smith,Marielle,Feuerherdt,Marielle,M.F.,,SA,ALP,Female,Commonwealth Parliament Offices,"Suite 6, Level 13, 100 King William Street",Adelaide,SA,5000,(08) 8205 1050,(08) 8232 4161,,Commonwealth Parliament Offices,Adelaide,SA,5000,
Senator,Senator,Steele-John,Jordon,Alexander,Jordon,J.A.,,WA,AG,Male,Level 40 Exchange Tower,2 the Esplanade,Perth,WA,6000,(08) 6245 3310,,,GPO Box B58,Perth,WA,6838,
Senator,Senator,Sterle,Glenn,,Glenn,G.,,WA,ALP,Male,Units G2 and G3 ,150-152 Riseley Street,Booragoon,WA,6154,(08) 9455 1420,(08) 9455 1421,1300 066 494,"Units G2 and G3, 150-152 Riseley Street",Booragoon,WA,6154,
Senator,Senator,Stoker,Amanda,Jane,Amanda,A.J.,,QLD,LP,Female,"Suite 10, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3001 8170,(07) 3001 8178,,GPO Box 228,Brisbane,QLD,4001,
Senator,Senator,Urquhart,Anne,Elizabeth,Anne,A. E.,,TAS,ALP,Female,1-3 Rooke Street,,Devonport,TAS,7310,(03) 6423 1933,(03) 6423 3544,1300 079 331,PO Box 360,Devonport,TAS,7310,Opposition Whip in the Senate
Senator,Senator,Van,David,Allan,David,D.A.,,VIC,LP,Male,"Commonwealth Parliament Offices, Level 4, Suite 4.1",4 Treasury Place,East Melbourne,VIC,3002,(03) 9660 6660,,,"Commonwealth Parliament Offices, Level 4, Suite 4.1",East Melbourne,VIC,3002,
Senator,Senator,Walsh,Jess,Cecille,Jess,J.C.,,VIC,ALP,Female,"Commonwealth Parliament Offices Level 4, Suite 4.6",4 Treasury Place,East Melbourne,VIC,3002,(03) 9232 8860,,,"Commonwealth Parliament Offices Level 4, Suite 4.6",East Melbourne,VIC,3002,
Senator,Senator,Waters,Larissa,Joy,Larissa,L. J.,,QLD,AG,Female,Level 1,251 Given Terrace,Paddington,QLD,4064,(07) 3367 0566,(07) 3367 0577,,Locked bag 3004,Paddington,QLD,4064,Leader of the Australian Greens in the Senate
Senator,Senator,Watt,Murray,Patrick,Murray,M.P.,,QLD,ALP,Male,Suite G04 Kay House,35 Scarborough Street,Southport,QLD,4215,(07) 5531 1033,,,PO Box 310,Southport Business Centre,QLD,4215,
Senator,Senator,Whish-Wilson,Peter,Stuart,Peter,P. S.,,TAS,AG,Male,37 George Street,,Launceston,TAS,7250,(03) 6331 0033,(03) 6331 2044,1300 044 012,PO Box 5194,Launceston,TAS,7250,
Senator the Hon,Senator,Wong,Penny,,Penny,P.,,SA,ALP,Female,Level 4,19 Gouger Street,Adelaide,SA,5000,(08) 8212 8272,(08) 8212 8273,1300 030 698,"PO Box 6237, Halifax Street",Adelaide,SA,5000,Leader of the Opposition in the Senate
