Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Hon,Mr,MP,Bowen,Christopher,Eyles,Chris,C. E.,McMahon,NSW,ALP,Male,(02) 6277 4822,(02) 6277 8587,Shops 3 & 4,398 Hamilton Road,Fairfield,NSW,2165,(02) 9604 0710,(02) 9609 3873,,PO Box W210,Fairfield West,NSW,2165,,,,,,
Mr,Mr,MP,Broadbent,Russell,Evan,Russell,R. E.,Monash,VIC,LP,Male,(02) 6277 4233,(02) 6277 8485,46C Albert Street,,Warragul,VIC,3820,(03) 5623 2064,(03) 5623 2509,,46C Albert Street,Warragul,VIC,3820,,,,,,
Hon,Mr,MP,Buchholz,Scott,,,S.,Wright,QLD,LNP,Male,(02) 6277 4144,(02) 6277 4177,21 William Street,,Beaudesert,QLD,4285,(07) 5541 0150,(07) 5541 4150,,PO Box 628,Beaudesert,QLD,4285,,,,,,Assistant Minister for Road Safety and Freight Transport
Hon,Mr,MP,Burke,Anthony,Stephen,Tony,A. S.,Watson,NSW,ALP,Male,(02) 6277 4410,(02) 6277 2215,"Shop 29, Broadway Plaza",,Punchbowl,NSW,2196,(02) 9750 9088,(02) 9759 2859,,PO Box 156,Punchbowl,NSW,2196,,,,,Manager of Opposition Business,
Hon,Ms,MP,Burney,Linda,Jean,,L. J.,Barton,NSW,ALP,Female,(02) 6277 4623,(02) 6277 8527,"Suite 203/13A, Montgomery Street",,Kogarah,NSW,2217,(02) 9587 1555,(02) 9587 1544,,"Suite 203/13A, Montgomery Street",Kogarah,NSW,2217,,,,,,
Mr,Mr,MP,Burns,Josh,,Josh,J.,Macnamara,VIC,ALP,Male,(02) 6277 4479,(02) 6277 8432,219 Barkly Street,,St Kilda,VIC,3182,(03) 9534 8126,,,219 Barkly Street,St Kilda,VIC,3182,,,,,,
Hon,Mr,MP,Butler,Mark,Christopher,,M. C.,Hindmarsh,SA,ALP,Male,(02) 6277 4089,(02) 6277 2222,21 Commercial Road,,Port Adelaide,SA,5015,(08) 8241 0190,(08) 8241 0198,,PO Box 2038,Port Adelaide,SA,5015,,,,,Deputy Manager of Opposition Business,
Ms,Ms,MP,Butler,Terri,Megan,Terri,T. M.,Griffith,QLD,ALP,Female,(02) 6277 4877,(02) 6277 8497,"Unit 14, 76 Old Cleveland Road",,Greenslopes,QLD,4120,(07) 3397 1674,(07) 3397 1697,,PO Box 737,Coorparoo,QLD,4151,,,,,,
Hon,Mr,MP,Byrne,Anthony,Michael,,A. M.,Holt,VIC,ALP,Male,(02) 6277 4309,(02) 6277 8473,"Shop 7, 1060 Thompsons Road",,Cranbourne West,VIC,3977,(03) 8790 0556,,,"Shop 7, 1060 Thompsons Road",Cranbourne West,VIC,3977,,,,,,
Dr,Dr,MP,Chalmers,James,Edward,Jim,J. E.,Rankin,QLD,ALP,Male,(02) 6277 4880,(02) 6277 4908,"Unit 2A, Logan Central Plaza",38-74 Wembley Road,Logan Central,QLD,4114,(07) 3299 5910,(07) 3208 8744,,PO Box 349,Woodridge,QLD,4114,,,,,,
Mr,Mr,MP,Champion,Nicholas,David,Nick,N. D.,Spence,SA,ALP,Male,(02) 6277 4451,(02) 6277 8511,"Tenancy 8, 2-10 James Street",,Salisbury,SA,5108,(08) 8258 6300,,,"Tenancy 8, 2-10 James Street",Salisbury,SA,5108,,,,,,
Hon,Mr,MP,Chester,Darren,Jeffrey,Darren,D. J.,Gippsland,VIC,NATS,Male,(02) 6277 7820,,"Level 1, 89 Raymond Street",,Sale,VIC,3850,(03) 5144 6744,(03) 5144 3945,,PO Box 486,Sale,VIC,3853,,,,,,"Minister for Veterans' Affairs Deputy Leader of the House Minister for Defence Personnel"
Ms,Ms,MP,Chesters,Lisa,Marie,Lisa,L. M.,Bendigo,VIC,ALP,Female,(02) 6277 4657,(02) 6277 2357,Cnr. Williamson & Myers Streets,,Bendigo,VIC,3550,(03) 5443 9055,(03) 5443 9736,,PO Box 338,Bendigo,VIC,3550,,,,,,
Mr,Mr,MP,Christensen,George,Robert,George,G. R.,Dawson,QLD,LNP,Male,(02) 6277 4538,(02) 6277 8508,2/21 Milton Street,,Mackay,QLD,4740,(07) 4944 0662,(07) 4944 0575,,PO Box 1697,Mackay,QLD,4740,,,,,,
Hon,Mr,MP,Clare,Jason,Dean,,J. D.,Blaxland,NSW,ALP,Male,(02) 6277 4904,(02) 6277 4750,"Suite 7 Level 1, 400 Chapel Road",,Bankstown,NSW,2200,(02) 9790 2466,(02) 9790 0770,,PO Box 153,Bankstown,NSW,1885,,,,,,
Ms,Ms,MP,Claydon,Sharon,Catherine,Sharon,S. C.,Newcastle,NSW,ALP,Female,(02) 6277 4285,(02) 6277 2378,427 Hunter Street,,Newcastle,NSW,2300,(02) 4926 1555,(02) 4926 1895,,427 Hunter Street,Newcastle,NSW,2300,,,,,,
Ms,Ms,MP,Coker,Elizabeth,Ann,Libby,E. A.,Corangamite,VIC,ALP,Female,(02) 6277 4363,(02) 6277 8436,3A/195 Colac Road,,Waurn Ponds,VIC,3216,(03) 5243 1444,,,3A/195 Colac Road,Waurn Ponds ,VIC,3216,,,,,,
Hon,Mr,MP,Coleman,David,Bernard,David,D. B.,Banks,NSW,LP,Male,(02) 6277 7770,,22 Revesby Place,,Revesby,NSW,2212,(02) 9771 3400,(02) 9773 4144,,PO Box 564,Revesby,NSW,2212,,,,,,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs"
Hon,Ms,MP,Collins,Julie,Maree,,J. M.,Franklin,TAS,ALP,Female,(02) 6277 4107,(02) 6277 2321,18 Ross Avenue,,Rosny Park,TAS,7018,(03) 6244 1222,(03) 6244 1211,,PO Box 38,Rosny Park,TAS,7018,,,,,,
Mr,Mr,MP,Conaghan,Patrick,John,Pat,P. J.,Cowper,NSW,NATS,Male,(02) 6277 4446,(02) 6277 8474,39 Little Street,,Coffs Harbour ,NSW,2450,(02) 6652 6233,,,PO Box 2056,Coffs Harbour ,NSW,2450,,,,,,
Mr,Mr,MP,Connelly,Vincent,Gerard,Vince,V. G.,Stirling,WA,LP,Male,(02) 6277 4416,(02) 6277 8467,"Tenancy 3, Level 1",31 Cedric Street,Stirling ,WA,6021,(08) 9344 2373,,,PO Box 989,Innaloo,WA,6918,,,,,,
Mr,Mr,MP,Conroy,Patrick,Martin,Pat,P. M.,Shortland,NSW,ALP,Male,(02) 6277 4863,(02) 6277 4963,Suite 1A,571 Pacific Highway,Belmont,NSW,2280,(02) 4947 9546,(02) 4945 3764,,PO Box 499,Belmont,NSW,2280,,,,,,
Hon,Mr,MP,Coulton,Mark,Maclean,,M. M.,Parkes,NSW,NATS,Male,(02) 6277 7495,,"Shop 3, 153 Brisbane Street",,Dubbo,NSW,2830,(02) 6882 0999,(02) 6882 9935,,"Shop 3, 153 Brisbane Street",Dubbo,NSW,2830,,,,,,"Minister for Regional Health, Regional Communications and Local Government"
Mr,Mr,MP,Dick,Dugald,Milton,Milton,M. D.,Oxley,QLD,ALP,Male,(02) 6277 4910,(02) 6277 8448,255 Forest Lake Boulevard,,Forest Lake,QLD,4078,(07) 3879 6440,(07) 3879 6441,,PO Box 4042,Forest Lake,QLD,4078,,,,,,
Hon,Mr,QC MP,Dreyfus,Mark,Alfred,Mark,M. A.,Isaacs,VIC,ALP,Male,(02) 6277 4205,(02) 6277 8523,566 Main Street,,Mordialloc,VIC,3195,(03) 9580 4651,,,566 Main Street,Mordialloc,VIC,3195,,,,,Deputy Manager of Opposition Business,
Hon,Mr,MP,Drum,Damian,Kevin,Damian,D. K.,Nicholls,VIC,NATS,Male,(02) 6277 4068,(02) 6277 8534,426 Wyndham Street,,Shepparton,VIC,3630,(03) 5821 5371,,,426 Wyndham Street,Shepparton,VIC,3630,,,,,Chief Nationals Whip,
Hon,Mr,MP,Dutton,Peter,Craig,,P. C.,Dickson,QLD,LNP,Male,(02) 6277 7860,,3/199 Gympie Road,,Strathpine,QLD,4500,(07) 3205 9977,(07) 3205 5111,,PO Box 2012,Strathpine,QLD,4500,,,,,,Minister for Home Affairs
Hon,Mrs,MP,Elliot,Maria,Justine,Justine,M. J.,Richmond,NSW,ALP,Female,(02) 6277 4554,(02) 6277 8520,"Suite 6, Hallmark Centre, 107-111 Minjungbal Drive",,Tweed Heads South,NSW,2486,(07) 5523 4371,(07) 5523 4379,,PO Box 6996,Tweed Heads South,NSW,2486,,,,,,
Hon,Mr,MP,Entsch,Warren,George,Warren,W. G.,Leichhardt,QLD,LNP,Male,(02) 6277 4803,(02) 6277 2238,"Units 3 & 4, 200 Mulgrave Road",Westcourt,Cairns,QLD,4870,(07) 4051 2220,(07) 4031 1592,,PO Box 14,Bungalow,QLD,4870,,,,,,
Hon,Mr,MP,Evans,Trevor,Mark,Trevor,T. M.,Brisbane,QLD,LNP,Male,(02) 6277 2008,(02) 6277 8411,349 Sandgate Road,,Albion,QLD,4010,(07) 3862 4044,,,PO Box 143,Albion DC,QLD,4010,,,,,,Assistant Minister for Waste Reduction and Environmental Management
Mr,Mr,MP,Falinski,Jason,George,Jason,J. G.,Mackellar,NSW,LP,Male,(02) 6277 2324,(02) 6277 8555,"Shop 1, 1238-1246",Pittwater Road,Narrabeen,NSW,2101,(02) 8484 0300,(02) 9913 9577,,"Shop 1, 1238-1246 Pittwater Road",Narrabeen,NSW,2101,,,,,,
Hon,Mr,MP,Fitzgibbon,Joel,Andrew,,J. A.,Hunter,NSW,ALP,Male,(02) 6277 4550,(02) 6277 8556,3 Edward Street,,Cessnock,NSW,2325,(02) 4991 1022,(02) 4991 2322,,PO Box 526,Cessnock,NSW,2325,,,,,,
Hon,Mr,MP,Fletcher,Paul,William,Paul,P. W.,Bradfield,NSW,LP,Male,(02) 6277 7480,,"Suite 1, Level 2",280 Pacific Highway,Lindfield,NSW,2070,(02) 9465 3950,(02) 9465 3999,,"Suite 1, Level 2,",Lindfield,NSW,2070,,,,,,"Minister for Communications, Cyber Safety and the Arts"
Ms,Ms,MP,Flint,Nicolle,Jane,,N. J.,Boothby,SA,LP,Female,(02) 6277 2057,(02) 6277 8415,"Level 1, 724 Marion Road",,Marion,SA,5043,(08) 8374 0511,(08) 8374 3071,,"Level 1, 724 Marion Road",Marion,SA,5043,,,,,Government Whip,
Dr,Dr,MP,Freelander,Michael,Randolph,Mike,M. R.,Macarthur,NSW,ALP,Male,(02) 6277 2311,(02) 6277 8537,37 Queen Street,,Campbelltown,NSW,2560,(02) 4620 0293,(02) 4620 4414,,PO Box 88,Campbelltown,NSW,2560,,,,,,
Hon,Mr,MP,Frydenberg,Joshua,Anthony,Josh,J. A.,Kooyong,VIC,LP,Male,(02) 6277 7340,,695 Burke Road,,Camberwell,VIC,3124,(03) 9882 3677,,,695 Burke Road,Camberwell,VIC,3124,,,,,,Treasurer
Hon,Mr,MP,Gee,Andrew,Robert,Andrew,A. R.,Calare,NSW,NATS,Male,(02) 6277 7630,,Suite  1/179A Anson Street,,Orange,NSW,2800,(02) 6361 7138,(02) 6362 3480,,PO Box 673,Orange,NSW,2800,,,,,,"Minister for Decentralisation and Regional Education Minister Assisting the Minister for Trade and Investment"
Mr,Mr,MP,Georganas,Steven,,Steve,S.,Adelaide,SA,ALP,Male,(02) 6277 4816,(02) 6277 8521,161a Main North Road,,Nailsworth,SA,5083,(08) 8269 2433,(08) 8269 2488,,161a Main North Road,Nailsworth,SA,5083,,,,,,
Mr,Mr,MP,Giles,Andrew,James,Andrew,A. J.,Scullin,VIC,ALP,Male,(02) 6277 4044,(02) 6277 8417,Shop 23-25,314-360 Childs Rd,Mill Park,VIC,3082,(03) 9404 1911,,,PO Box 167,Mill Park LPO,VIC,3082,,,,,,
Hon Dr,Dr,MP,Gillespie,David,Arthur,David,D. A.,Lyne,NSW,NATS,Male,(02) 6277 4960,(02) 6277 2856,Shops 2 & 3,43 High Street,Wauchope,NSW,2446,(02) 6557 8910,(02) 6586 0934,,PO Box 244,Wauchope,NSW,2446,,,,,,
Mr,Mr,MP,Goodenough,Ian,Reginald,Ian,I. R.,Moore,WA,LP,Male,(02) 6277 4651,(02) 6277 2082,"Suite 6, 129 Grand Boulevard",,Joondalup,WA,6027,(08) 9300 2244,(08) 9300 2245,,3 Boas Ave,Joondalup,WA,6027,,,,,,
Mr,Mr,MP,Gorman,Patrick,,,P. G.,Perth,WA,ALP,Male,(02) 6277 4995,(02) 6277 8496,953 A Beaufort Street,,Inglewood,WA,6052,(08) 9272 3411,(08) 9272 3477,,PO Box 901,Inglewood,WA,6932,,,,,,
Mr,Mr,OAM MP,Gosling,Luke,John,Luke,L. J.,Solomon,NT,ALP,Male,(02) 6277 4933,(02) 6277 8427,3/266 Trower Road,,Casuarina,NT,810,(08) 8928 0180,,,PO Box 43300,Casuarina,NT,810,,,,,,
Dr,Dr,MP,Haines,Helen,Mary,Helen,H. M,Indi,VIC,IND,Female,(02) 6277 4182,(02) 6277 8423,117 Murphy Street,,Wangaratta,VIC,3677,(03) 5721 7077,,,117 Murphy Street,Wangaratta,VIC,3677,,,,,,
Ms,Ms,MP,Hammond,Celia,Monica,Celia,C. M.,Curtin,WA,LP,Female,(02) 6277 4303,(02) 6277 8410,414 Rokeby Road,,Subiaco ,WA,6008,(08) 9388 0288,,,PO Box 2010,Subiaco,WA,6904,,,,,,
Mr,Mr,MP,Hastie,Andrew,William,Andrew,A. W.,Canning,WA,LP,Male,(02) 6277 4223,(02) 6277 4181,Unit 2,61 Sutton Street,Mandurah,WA,6210,(08) 9534 8044,,,PO Box 968,Mandurah,WA,6210,,,,,,
Hon,Mr,MP,Hawke,Alexander,George,Alex,A. G.,Mitchell,NSW,LP,Male,(02) 6277 7110,,Suite 8,23 Terminus Street,Castle Hill,NSW,2154,(02) 9899 7211,(02) 9899 7990,,PO Box 1173,Castle Hill,NSW,2154,,,,,,"Minister for International Development and the Pacific Assistant Defence Minister"
Mr,Mr,MP,Hayes,Christopher,Patrick,Chris,C. P.,Fowler,NSW,ALP,Male,(02) 6277 4083,(02) 6277 2309,Level 2,24-32 Hughes Street,Cabramatta,NSW,2166,(02) 9726 3988,(02) 9727 2240,,PO Box 205,Cabramatta,NSW,2166,,,,,Chief Opposition Whip,
Mr,Mr,MP,Hill,Julian,Christopher,Julian,J. C.,Bruce,VIC,ALP,Male,(02) 6277 2174,(02) 6277 8492,45 Robinson Street,,Dandenong,VIC,3175,(03) 9791 7770,,,PO Box 7427,Dandenong,VIC,3175,,,,,,
Hon,Mr,MP,Hogan,Kevin,John,Kevin,K. J.,Page,NSW,NATS,Male,(02) 6277 4746,(02) 6277 2278,61-63 Molesworth Street,,Lismore,NSW,2480,(02) 6621 4044,(02) 6621 4255,,61-63 Molesworth Street,Lismore,NSW,2480,,,,,,Assistant Minister to the Deputy Prime Minister
Hon,Mr,MP,Howarth,Luke,Ronald,Luke,L. R.,Petrie,QLD,LNP,Male,(02) 6277 4018,(02) 6277 2361,40 Hornibrook Esplanade,,Clontarf,QLD,4019,(07) 3284 8008,(07) 3284 8002,,PO Box 321,Clontarf,QLD,4019,,,,,,"Assistant Minister for Community Housing, Homelessness and Community Services"
Hon,Mr,MP,Hunt,Gregory,Andrew,Greg,G. A.,Flinders,VIC,LP,Male,(02) 6277 7220,(02) 6273 4146,1/49 Eramosa Road West,,Somerville,VIC,3912,(03) 5977 9082,,,PO Box 647,Somerville,VIC,3912,,,,,,"Minister Assisting the Prime Minister for the Public Service and Cabinet Minister for Health"
Hon,Mr,MP,Husic,Edham,Nurredin,Ed,E. N.,Chifley,NSW,ALP,Male,(02) 6277 4488,(02) 6277 8590,6/15 Cleeve Close,,Mt Druitt,NSW,2770,(02) 9625 4344,(02) 9832 2641,,PO Box 259,Mt Druitt,NSW,2770,,,,,,
Hon,Mr,MP,Irons,Stephen,James,Steve,S. J.,Swan,WA,LP,Male,(02) 6277 4337,(02) 6277 8494,"G3, 59 Albany Highway",,Victoria Park,WA,6101,(08) 9355 0099,(08) 9355 0199,,PO Box 1060,East Victoria Park,WA,6981,,,,,,"Assistant Minister for Vocational Education, Training and Apprenticeships"
Mr,Mr,MP,Jones,Stephen,Patrick,Stephen,S. P.,Whitlam,NSW,ALP,Male,(02) 6277 4661,(02) 6277 8548,Shop 244,Stockland Shellharbour,Shellharbour,NSW,2529,(02) 4297 2285,(02) 4297 2161,,PO Box 264,Shellharbour,NSW,2529,,,,,,
Hon,Mr,MP,Joyce,Barnaby,Thomas Gerard,Barnaby,B. T. G.,New England,NSW,NATS,Male,(02) 6277 4011,(02) 6277 8557,Suite 17,454-456 Peel Street,Tamworth,NSW,2340,(02) 6761 3080,,,PO Box 963,Tamworth,NSW,2340,,,,,,
Hon,Mr,MP,Katter,Robert,Carl,Bob,R. C.,Kennedy,QLD,KAP,Male,(02) 6277 4978,(02) 6277 8558,Corner Edith and Owen Streets,,Innisfail,QLD,4860,(07) 4061 6066,(07) 4061 6566,,PO Box 1638,Innisfail,QLD,4860,,,,,,
Ms,Ms,MP,Kearney,Gerardine,Mary,Ged,G. M.,Cooper,VIC,ALP,Female,(02) 6277 4152,(02) 6277 8559,159 High Street,,Preston,VIC,3072,(03) 9416 8690,,,159 High Street,Preston,VIC,3072,,,,,,
Mr,Mr,MP,Kelly,Craig,,,C.,Hughes,NSW,LP,Male,(02) 6277 4366,(02) 6277 8567,"Shop 1, 9-15 East Parade",,Sutherland,NSW,2232,(02) 9521 6262,(02) 9545 0927,,PO Box 1014,Sutherland,NSW,1499,,,,,,
Mr,Mr,MP,Keogh,Matt,James,Matt,M. J.,Burt,WA,ALP,Male,(02) 6277 2200,(02) 6277 8513,"Unit 2, 2808 Albany Highway",,Kelmscott,WA,6111,(08) 9390 0180,(08) 9390 0201,,PO Box 465,Kelmscott,WA,6991,,,,,,
Mr,Mr,MP,Khalil,Peter,,Peter,P.,Wills,VIC,ALP,Male,(02) 6277 4857,(02) 6277 8444,1/240 Sydney Road,,Coburg,VIC,3058,(03) 9350 5777,,,1/240 Sydney Road,Coburg,VIC,3058,,,,,,
Hon,Ms,MP,King,Catherine,Fiona,,C. F.,Ballarat,VIC,ALP,Female,(02) 6277 4407,(02) 6277 4889,5 Lydiard Street North,,Ballarat,VIC,3350,(03) 5338 8123,,,PO Box 719,Ballarat,VIC,3353,,,,,,
Ms,Ms,MP,King,Madeleine,Mary Harvie,Madeleine,M. M. H.,Brand,WA,ALP,Female,(02) 6277 4354,(02) 6277 8438,"Units 4 and 5, 95 Chalgrove Ave",,Rockingham,WA,6168,(08) 9527 9377,,,PO Box 5062,Rockingham Beach,WA,6969,,,,,,
Mr,Mr,MP,Laming,Andrew,Charles,,A. C.,Bowman,QLD,LNP,Male,(02) 6277 4258,(02) 6277 8503,10/32 Middle Street,,Cleveland,QLD,4163,(07) 3821 0155,(07) 3821 3799,,PO Box 8024,Cleveland,QLD,4163,,,,,,
Hon,Ms,MP,Landry,Michelle,Leanne,Michelle,M. L.,Capricornia,QLD,LNP,Female,(02) 6277 4283,(02) 6277 8566,The Swan,159 Denison Street (Cnr Denham St),Rockhampton,QLD,4700,(07) 4922 6604,(07) 4922 6607,,PO Box 1919,Rockhampton,QLD,4700,,,,,,"Assistant Minister for Children and Families Assistant Minister for Northern Australia"
Mr,Mr,MP,Leeser,Julian,,Julian,J.,Berowra,NSW,LP,Male,(02) 6277 4826,(02) 6277 8547,"Level 11, 423 Pennant Hills Road",,Pennant Hills,NSW,2120,(02) 9980 1822,(02) 9980 1833,,PO Box 743,Pennant Hills,NSW,1715,,,,,,
Hon Dr,Dr,MP,Leigh,Andrew,Keith,,A. K.,Fenner,ACT,ALP,Male,(02) 6277 4140,(02) 6277 8469,"Shop G&H, 33 Hibberson Street",,Gungahlin,ACT,2912,(02) 6247 4396,(02) 6247 3457,,"Shop G&H, 33 Hibberson Street ",Gungahlin,ACT,2912,,,,,,
Hon,Ms,MP,Ley,Sussan,Penelope,,S. P.,Farrer,NSW,LP,Female,(02) 6277 7920,,517 Kiewa Street,,Albury,NSW,2640,(02) 6021 3264,(02) 6021 6620,1300 303 203,PO Box 672,Albury,NSW,2640,,,,,,Minister for the Environment
Hon,Mr,MP,Littleproud,David,,David,D.,Maranoa,QLD,LNP,Male,(02) 6277 7190,,"T40-42, Dalby Shopping World",17-67 Cunningham Street,Dalby,QLD,4405,(07) 4662 2715,,,PO Box 641,DALBY,QLD,4405,,,,,Deputy Leader of the National Party,"Minister for Agriculture, Drought and Emergency Management"
Ms,Ms,MP,Liu,Gladys,,Gladys,G. ,Chisholm,VIC,LP,Female,(02) 6277 4155,(02) 6277 8411,"Level 1, 140 Burwood Highway",,Burwood,VIC,3125,(03) 9808 3188,,,PO Box 102,Burwood,VIC,3125,,,,,,
Hon,Mrs,MP,Marino,Nola,Bethwyn,,N. B.,Forrest,WA,LP,Female,(02) 6277 4293,(02) 6277 8424,Units 7 & 8 Grand Cinemas Complex,Corner of Victoria and Clifton Streets,Bunbury,WA,6230,(08) 9721 3788,(08) 9721 4911,,PO Box 2028,Bunbury,WA,6231,,,,,,Assistant Minister for Regional Development and Territories
Hon,Mr,MP,Marles,Richard,Donald,,R. D.,Corio,VIC,ALP,Male,(02) 6277 4330,(02) 6277 8599,17A Yarra Street,,Geelong,VIC,3220,(03) 5221 3033,(03) 5222 4505,,17A Yarra Street ,Geelong,VIC,3220,,,,,Deputy Leader of the Opposition,
Dr,Dr,MP,Martin,Fiona,Barbouttis,Fiona,F. B.,Reid,NSW,LP,Female,(02) 6277 4156,(02) 6277 8415,72 Burwood Road,,Burwood,NSW,2134,(02) 9715 7444,(02) 9745 2825,,PO Box 2028,Burwood North,NSW,2134,,,,,,
Ms,Ms,MP,McBride,Emma,Margaret,Emma,E. M.,Dobell,NSW,ALP,Female,(02) 6277 4515,(02) 6277 8441,"Suite 204, Level 2 Mariners Centre of Excellence",1 Bryant Drive,Tuggerah,NSW,2259,(02) 4353 0127,(02) 4353 0248,,PO Box 3763,Tuggerah,NSW,2259,,,,,,
Hon,Mr,MP,McCormack,Michael,Francis,Michael,M. F.,Riverina,NSW,NATS,Male,(02) 6277 7520,(02) 6273 4120,Suite 2,11-15 Fitzmaurice Street,Wagga Wagga,NSW,2650,(02) 6921 4600,(02) 6921 5900,,"Suite 2, 11-15 Fitzmaurice Street",Wagga Wagga,NSW,2650,,,,,Leader of the Nationals,"Deputy Prime Minister and Minister for Infrastructure,Transport and Regional Development"
Mrs,Mrs,MP,McIntosh,Melissa,Iris,Melissa,M. I.,Lindsay,NSW,LP,Female,(02) 6277 4492,(02) 6277 8479,Ground Floor,331 High Street,Penrith,NSW,2750,(02) 4722 0600,,,PO Box 712,Penrith,NSW,2750,,,,,,
Hon Dr,Dr,MP,McVeigh,John,Joseph,John,J. J.,Groom,QLD,LNP,Male,(02) 6277 4277,(02) 6277 8564,216 Margaret Street,(Cnr Duggan Street),Toowoomba,QLD,4350,(07) 4632 4144,(07) 4638 2147,,PO Box 777,Toowoomba,QLD,4350,,,,,,
Mr,Mr,MP,Mitchell,Brian,Keith,Brian,B. K.,Lyons,TAS,ALP,Male,(02) 6277 4270,(02) 6277 8422,"Suite 105, Green Point Plaza",,Bridgewater,TAS,7030,(03) 6263 3721,,,PO Box 61,Bridgewater,TAS,7030,,,,,,
Mr,Mr,MP,Mitchell,Robert,George,Rob,R. G.,McEwen,VIC,ALP,Male,(02) 6277 4117,(02) 6277 8443,57-59 High Street,,Wallan,VIC,3756,(03) 5716 3000,,1300 701 966,PO Box 380,Wallan,VIC,3756,,,,,Second Deputy Speaker,
Hon,Mr,MP,Morrison,Scott,John,Scott,S. J.,Cook,NSW,LP,Male,(02) 6277 7700,(02) 6273 4100,"Suite 102, Level 1",30 The Kingsway,Cronulla,NSW,2230,(02) 9523 0339,(02) 9523 8959,,PO Box 1306,Cronulla,NSW,2230,,,,,,"Prime Minister Minister for the Public Service"
Hon,Mr,MP,Morton,Ben,,Ben,B.,Tangney,WA,LP,Male,(02) 6277 2035,(02) 6277 8420,6 Aveley Street,,Willetton,WA,6155,(08) 9354 9633,,,PO Box 329,Willetton,WA,6155,,,,,,Assistant Minister to the Prime Minister and Cabinet
